customer_Id,firstname,lastname,DOB,marital_status,Gender,city_code,City_name
268408, Jon,Yang ,2/1/1970,Married,M,4,seattle
269696,Eugene,Huang  ,7/1/1970,Single,F,8,Kansas_City
268159,Ruben, Torres,8/1/1970,Married,F,8,Kansas_City
270181,Christy,  Zhu,10/1/1970,Single,F,2,Dallas
268073, Elizabeth,Johnson,11/1/1970,Single,M,1,New_york
273216,Julio,Ruiz,15-01-1970,Single,F,5,Anaheim
266929,Janet,Alvarez,15-01-1970,Single,M,8,Kansas_City
275152,Marco,Mehta,16-01-1970,Married,M,4,seattle
275034,Rob,Verhoff,18-01-1970,Single,F,4,seattle
273966,Shannon,Carlson,21-01-1970,Single,M,8,Kansas_City
270829,Jacquelyn,Suarez,22-01-1970,Single,F,8,Kansas_City
266997,Curtis,Lu,23-01-1970,Married,M,9,California
272455,  Lauren, Walker,25-01-1970,Married,M,7,Detroit
274593, Ian , Jenkins ,26-01-1970,Married,M,10,Milwaukee
273391,Sydney,Bennett,29-01-1970,Single,F,2,Dallas
267657,  Chloe,Young,29-01-1970,Single,F,7,Detroit
271344,Wyatt,Hill,29-01-1970,Married,F,5,Anaheim
268275,Shannon,Wang,1/2/1970,Single,F,7,Detroit
274630,Clarence,Rai,1/2/1970,Single,M,4,seattle
273541,Luke,Lal,1/2/1970,Single,M,4,seattle
270324,Jordan,King,1/2/1970,Single,F,1,New_york
273613, Destiny,Wilson ,6/2/1970,Single,M,1,New_york
271608,Ethan,Zhang,9/2/1970,Married,F,4,seattle
269008,Seth,Edwards,13-02-1970,Married,F,6,Chicago
267199,Russell,Xie,14-02-1970,Married,,2,Dallas
267916,Alejandro,Beck,17-02-1970,Married,F,8,Kansas_City
267609,Harold,Sai,18-02-1970,Single,M,2,Dallas
270602,Jessie,Zhao,18-02-1970,Married,M,5,Anaheim
272883,Jill,Jimenez,19-02-1970,Married,M,5,Anaheim
272359,Jimmy,Moreno,19-02-1970,Married,M,4,seattle
272603,Bethany,Yuan,19-02-1970,Married,F,9,California
272028,Theresa,Ramos,20-02-1970,Married,F,1,New_york
274717,Denise,Stone,21-02-1970,Married,M,7,Detroit
273316,Jaime,Nath,21-02-1970,Married,M,2,Dallas
271262,Ebony,Gonzalez,21-02-1970,Married,M,2,Dallas
267166,Wendy,Dominguez,22-02-1970,Married,F,4,seattle
270827,Jennifer,Russell,4/3/1970,Married,F,10,Milwaukee
273423,Chloe,Garcia,4/3/1970,Single,F,4,seattle
271692,Diana,Hernandez,7/3/1970,Married,M,5,Anaheim
274592,Marc,Martin,8/3/1970,Married,M,5,Anaheim
271777,Jesse,Murphy,8/3/1970,Married,M,8,Kansas_City
266895,Amanda,Carter,12/3/1970,Married,M,4,seattle
274360,Megan,Sanchez,14-03-1970,Married,M,5,Anaheim
274602,Nathan,Simmons,15-03-1970,Married,F,3,New_Jersey
266799,Adam,Flores,16-03-1970,Married,F,5,Anaheim
272821,Leonard,Nara,17-03-1970,Single,F,3,New_Jersey
267379,Christine,Yuan,21-03-1970,Married,F,2,Dallas
273016,Jaclyn,Lu,22-03-1970,Married,M,3,New_Jersey
273106,Jeremy,Powell,23-03-1970,Married,F,2,Dallas
271935,Carol,Rai,26-03-1970,Single,M,5,Anaheim
273109,Alan,Zheng,27-03-1970,Married,F,5,Anaheim
270986,Daniel,Johnson,27-03-1970,Single,M,10,Milwaukee
266969,Heidi,Lopez,28-03-1970,Single,M,2,Dallas
273871,Ana,Price,29-03-1970,Married,M,7,Detroit
273811,Deanna,Munoz,29-03-1970,Married,M,8,Kansas_City
271312,Gilbert,Raje,1/4/1970,Married,F,5,Anaheim
274834,Michele,Nath,2/4/1970,Married,M,4,seattle
271991,Carl,Andersen,2/4/1970,Married,M,5,Anaheim
269765,Marc,Diaz,4/4/1970,Married,F,9,California
272071,Ashlee,Andersen,6/4/1970,Single,F,6,Chicago
272645,Jon,Zhou,14-04-1970,Married,F,2,Dallas
270780,Todd,Gao,18-04-1970,Married,F,3,New_Jersey
272736,Noah,Powell,19-04-1970,Married,F,1,New_york
272627, Angela  , Murphy  ,19-04-1970,Single,F,3,New_Jersey
272795,Chase, Reed  ,22-04-1970,Married,M,1,New_york
270450,Jessica  ,Henderson ,24-04-1970,Married,F,3,New_Jersey
266862,Grace,  Butler,24-04-1970,Married,F,5,Anaheim
274535, Caleb, Carter,26-04-1970,Single,F,4,seattle
269640,Tiffany,Liang,29-04-1970,Single,M,7,Detroit
268290,Carolyn,Navarro,29-04-1970,Single,M,7,Detroit
275250, Willie , Raji,2/5/1970,Married,F,1,New_york
272555,Linda, Serrano,3/5/1970,Single,M,1,New_york
268732,Casey,Luo,6/5/1970,Single,M,2,Dallas
271478,Amy,Ye,6/5/1970,Single,F,1,New_york
267529,Levi,Arun,9/5/1970,Single,M,4,seattle
271066,Felicia,Jimenez,10/5/1970,Single,M,8,Kansas_City
267819,Blake,Anderson,10/5/1970,Single,F,9,California
269271,Leah,Ye,12/5/1970,Single,F,5,Anaheim
273150,Gina,Martin,14-05-1970,Single,F,10,Milwaukee
267386,Donald,Gonzalez,15-05-1970,Single,M,7,Detroit
274350,Damien,Chander,16-05-1970,Married,F,3,New_Jersey
273645,Savannah,Baker,22-05-1970,Married,F,4,seattle
270911,Angela,Butler,22-05-1970,Single,M,2,Dallas
268424,Alyssa,Cox,23-05-1970,Married,F,8,Kansas_City
271045,Lucas,Phillips,23-05-1970,Single,F,7,Detroit
268627,Emily,Johnson,1/6/1970,Single,M,9,California
270430,Ryan,  Brown,1/6/1970,Married,M,7,Detroit
271626,Tamara, Liang,2/6/1970,Married,,6,Chicago
272301,Hunter,Davis,3/6/1970,Married,F,8,Kansas_City
269531,Abigail,Price,5/6/1970,Single,M,2,Dallas
274849,Trevor,Bryant,9/6/1970,Single,M,4,seattle
271031,Dalton,Perez,9/6/1970,Married,F,2,Dallas
272018,Cheryl,Diaz,9/6/1970,Married,F,6,Chicago
272186,Aimee,He,9/6/1970,Married,M,10,Milwaukee
270047,Cedric,Ma,10/6/1970,Single,M,1,New_york
274128,Chad,Kumar,10/6/1970,Single,M,10,Milwaukee
268313,Andr├®s,Anand,11/6/1970,Married,F,8,Kansas_City
270933,Edwin,Nara,15-06-1970,Married,M,8,Kansas_City
271072,Mallory,Rubio,16-06-1970,Single,M,6,Chicago
271465,Adam,Ross,17-06-1970,Married,F,9,California
274770,Latasha,Navarro,17-06-1970,Single,F,2,Dallas
270676,Abby,Sai,19-06-1970,Single,M,5,Anaheim
273529,Julia,Nelson,19-06-1970,Single,F,1,New_york
273162,Cassie,Chande,19-06-1970,Single,M,8,Kansas_City
268533,Edgar,Sara,23-06-1970,Married,F,6,Chicago
275246,Candace,Fernandez,25-06-1970,Single,M,3,New_Jersey
267066,Jessie,Liu,25-06-1970,Single,F,10,Milwaukee
269345,Bianca,Lin,26-06-1970,Married,F,10,Milwaukee
275116,Kari,Alvarez,29-06-1970,Single,M,5,Anaheim
273840, Ruben ,Kapoor ,1/7/1970,Single,M,3,New_Jersey
268792,Curtis,Yang,4/7/1970,Married,M,4,seattle
274892,Meredith,Gutierrez,5/7/1970,Married,F,8,Kansas_City
273708,Crystal,Wang,9/7/1970,Married,F,7,Detroit
272495,Micheal,Blanco,10/7/1970,Married,M,8,Kansas_City
272926,Leslie,Moreno,11/7/1970,Single,F,4,seattle
268447,Alvin,Cai,14-07-1970,Married,M,,
273442,Clinton,Carlson,16-07-1970,Married,M,4,seattle
267081,April,Deng,17-07-1970,Married,F,3,New_Jersey
267042,Alvin,Zeng,23-07-1970,Single,M,8,Kansas_City
273151,Evan,James,24-07-1970,Single,F,4,seattle
274169,Beth,Jim├®nez,24-07-1970,Single,F,1,New_york
270130,Orlando,Suarez,26-07-1970,Married,M,9,California
274546,Byron,Vazquez,26-07-1970,Married,M,3,New_Jersey
273575,Philip,Alvarez,27-07-1970,Married,M,1,New_york
267280,Ross,Jordan,2/8/1970,Single,M,5,Anaheim
267304,Dana,Navarro,3/8/1970,Single,M,4,seattle
274445,Shaun,Carson,6/8/1970,Married,M,8,Kansas_City
270678,Jan,Edwards,6/8/1970,Married,F,4,seattle
270328,Samantha,Long,7/8/1970,Married,F,4,seattle
269449,Julia,Wright,9/8/1970,Single,M,6,Chicago
275014,Caroline,Russell,12/8/1970,Married,M,4,seattle
269825,Amanda,Rivera,21-08-1970,Married,M,4,seattle
271750,Melissa,Richardson,23-08-1970,Single,F,6,Chicago
267826,Angela,Griffin,24-08-1970,Single,F,7,Detroit
272501,Larry,Townsend,26-08-1970,Single,F,1,New_york
273587,Marcus,Harris,29-08-1970,Single,F,1,New_york
272721,Brianna,Morgan,1/9/1970,Single,M,8,Kansas_City
275134,Jasmine,Taylor,2/9/1970,Married,F,8,Kansas_City
267713,Lauren,Davis,3/9/1970,Married,M,1,New_york
274029,Tanya,Moreno,3/9/1970,Single,F,1,New_york
272261, Javier ,Alvarez,3/9/1970,Single,F,9,California
274628, Nicole,Ramirez,4/9/1970,Married,M,5,Anaheim
273776,Eduardo,Patterson,6/9/1970,Single,F,2,Dallas
274743,Jonathan,Henderson,6/9/1970,Married,M,4,seattle
270051,Edward,Hernandez,7/9/1970,Single,M,8,Kansas_City
274455,Jasmine,Coleman,8/9/1970,Single,F,10,Milwaukee
